"school_dbn","mean_algebra2","mean_english","school_name","percent_of_teachers_with_3_or_more_years_of_experience","percent_of_students_chronically_absent","rigorous_instruction_percent_positive","supportive_environment_percent_positive","economic_need_index"
"24Q585",70.65808868,79.45522308,"Maspeth High School",0.588,0.212,0.87,0.78,0.538
"25Q240",70.47222137,76.84506989,"Veritas Academy",0.436,0.367,0.82,0.75,0.712
"25Q241",68.96682739,70.71052551,"Queens High School for Language Studies",0.643,0.182,0.83,0.85,0.776
"25Q263",83.16666412,55.37012863,"Flushing International High School",0.931,0.335,0.88,0.84,0.946
"25Q425",68.9154892,71.1608429,"John Bowne High School",0.844,0.391,0.8,0.67,0.757
"25Q460",66.49650574,65.3940506,"Flushing High School",0.779,0.448,0.77,0.64,0.784
"25Q525",89.24671173,95.44636536,"Townsend Harris High School",0.931,0.051,0.87,0.86,0.392
"25Q670",71.95833588,76.31034851,"Robert F. Kennedy Community High School",0.933,0.329,0.83,0.74,0.702
"26Q415",75.18312073,77.86634064,"Benjamin N. Cardozo High School",0.885,0.247,0.78,0.65,0.509
"26Q430",80.55138397,80.83618927,"Francis Lewis High School",0.857,0.183,0.84,0.78,0.595
"26Q435",59.46913528,66.15303802,"Martin Van Buren High School",0.936,0.355,0.8,0.66,0.67
"26Q495",69.14993286,73.28916931,"Bayside High School",0.922,0.202,0.8,0.7,0.532
"26Q566",70.50819397,67.17313385,"Queens High School of Teaching, Liberal Arts and t",0.852,0.268,0.62,0.61,0.409
"27Q260",67.7142868,53.12931061,"Frederick Douglass Academy VI High School",0.909,0.594,0.63,0.58,0.882
"27Q302",71.67441559,66.29914856,"Queens High School for Information, Research, and",0.828,0.504,0.84,0.79,0.834
"27Q308",67.86869049,77.77966309,"Robert H. Goddard High School of Communication Art",0.947,0.216,0.89,0.81,0.568
"27Q314",51.64706039,69.84337616,"Epic High School - South",0.478,0.503,0.77,0.66,0.672
"27Q324",54.13333511,69.19149017,"Rockaway Park High School for Environmental Sustai",0.87,0.61,0.73,0.71,0.797
"27Q334",52.59259415,60.25882339,"Epic High School - North",0.522,0.587,0.81,0.76,0.673
"27Q351",55.63636398,64.76288605,"Rockaway Collegiate High School",0.538,0.588,0.7,0.63,0.784
"27Q475",63.88888931,64.65607452,"Richmond Hill High School",0.759,0.374,0.79,0.7,0.789
"27Q480",59.8014183,68.97525024,"John Adams High School",0.587,0.402,0.79,0.65,0.772
"28Q325",69.83870697,71.34934235,"Hillside Arts & Letters Academy",0.852,0.342,0.87,0.79,0.716
"28Q328",81.44444275,77.40000153,"High School for Community Leadership",0.897,0.461,0.84,0.79,0.701
